sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
37713072508,2022-07-21T06:46:30Z,76,19,22,35,66,63,0.03299725022914757
37694494059,2022-07-20T04:25:30Z,83,19,23,41,54,64,0.025056947608200455
37687595737,2022-07-19T06:12:00Z,82,21,22,39,68,67,0.06750241080038573
37675218314,2022-07-18T06:03:30Z,80,17,24,39,85,69,0.054748603351955305
37666264808,2022-07-17T09:30:00Z,85,25,16,44,163,67,0.07158671586715867
37652246550,2022-07-16T06:59:00Z,85,22,21,42,83,68,0.04861111111111111
37640330466,2022-07-15T05:32:30Z,86,21,22,43,115,66,0.034444444444444444
37629204418,2022-07-14T05:40:30Z,88,22,25,41,97,69,0.015756302521008403
37616654137,2022-07-13T05:12:00Z,84,21,26,37,60,71,0.012865497076023392
37605954217,2022-07-12T07:14:30Z,68,16,19,33,73,68,0.08226950354609928
37602212728,2022-07-12T00:13:00Z,59,14,15,30,5,68,0.07753164556962025
37594008329,2022-07-11T05:59:00Z,87,17,25,45,78,69,0.010416666666666666
37583318866,2022-07-10T06:57:00Z,85,21,21,43,65,68,0.02753195673549656
37570983679,2022-07-09T06:55:30Z,86,18,22,46,109,66,0.0463519313304721
37558953408,2022-07-08T06:37:30Z,83,18,23,42,71,66,0.03066271018793274
37547346730,2022-07-07T07:25:00Z,88,22,20,46,88,64,0.08264462809917356
37535249141,2022-07-06T07:18:30Z,80,15,22,43,30,64,0.053763440860215055
37524915826,2022-07-05T07:51:00Z,86,17,24,45,95,67,0.026836158192090395
37516532583,2022-07-04T17:29:00Z,66,18,15,33,25,65,0.0749665327978581
37512496692,2022-07-04T09:01:30Z,58,16,13,29,47,65,0.04990757855822551
37497858864,2022-07-03T04:06:30Z,76,17,24,35,18,67,0.0296875
37486348410,2022-07-02T10:00:30Z,78,19,14,45,77,65,0.041560644614079725
37475378082,2022-07-01T07:03:30Z,86,21,22,43,56,66,0.043243243243243246
37463061664,2022-06-30T06:59:00Z,89,22,22,45,102,64,0.025108225108225107
37452630173,2022-06-29T07:44:00Z,88,21,21,46,80,63,0.03865979381443299
37437633522,2022-06-28T05:29:00Z,78,19,21,38,41,61,0.013189448441247002
37429119647,2022-06-27T08:45:30Z,85,21,21,43,75,59,0.03986710963455149
37414384950,2022-06-26T06:58:30Z,89,20,24,45,126,62,0.036286919831223625
37409184281,2022-06-25T19:07:30Z,54,11,16,27,12,60,0.09046454767726161
37405284908,2022-06-25T08:59:00Z,80,20,17,43,125,60,0.02888086642599278
37391120935,2022-06-24T05:58:30Z,79,19,18,42,51,58,0.055378061767838126
37378890938,2022-06-23T05:59:00Z,82,21,22,39,87,57,0.011441647597254004
37366201529,2022-06-22T04:59:30Z,80,21,23,36,68,57,0.06159014557670773
37354294372,2022-06-21T06:00:00Z,89,22,24,43,103,58,0.03944773175542406
37341612521,2022-06-20T07:05:30Z,93,24,24,45,141,60,0.04780615586116568
37328603918,2022-06-19T06:59:00Z,83,19,22,42,60,58,0.044284243048403706
37317879071,2022-06-18T07:21:30Z,89,20,24,45,110,58,0.04942084942084942
37306398395,2022-06-17T06:47:30Z,92,23,24,45,123,61,0.05789473684210526
37294374046,2022-06-16T05:00:30Z,73,19,25,29,41,63,0.034972677595628415
37283978893,2022-06-15T06:59:00Z,93,24,24,45,131,65,0.06757912745936698
37270490131,2022-06-14T05:32:30Z,89,20,23,46,125,68,0.058767772511848344
37256275784,2022-06-13T05:28:00Z,73,16,17,40,77,67,0.0394990366088632
37244689083,2022-06-12T08:58:30Z,89,19,24,46,57,68,0.04029990627928772
37234569318,2022-06-11T08:17:00Z,89,21,25,43,82,68,0.04415011037527594
37223041521,2022-06-10T07:59:30Z,92,22,24,46,90,69,0.03835360149672591
37209043088,2022-06-09T07:58:30Z,88,22,24,42,95,71,0.03508771929824561
37191328465,2022-06-08T05:03:30Z,76,16,22,38,36,68,0.0107095046854083
37180865872,2022-06-07T07:49:00Z,86,18,23,45,117,69,0.02875924404272802
37168097006,2022-06-06T15:10:30Z,79,23,14,42,212,68,0.11404011461318052
37150167881,2022-06-05T06:57:00Z,84,18,23,43,107,69,0.072812291249165
37142723000,2022-06-04T06:44:30Z,84,19,23,42,23,69,0.04853387259858443
37131969019,2022-06-03T06:29:30Z,85,21,23,41,61,69,0.0471976401179941
37119628837,2022-06-02T05:59:00Z,85,21,23,41,43,68,0.007881773399014778
37109078319,2022-06-01T07:16:30Z,75,21,15,39,89,67,0.1132623426911907
37094483933,2022-05-31T05:59:00Z,78,21,21,36,46,67,0.04570184983677911
37081191936,2022-05-30T06:56:30Z,79,18,20,41,53,68,0.0622598001537279
37070586257,2022-05-29T11:31:00Z,83,17,20,46,57,71,0.08464730290456432
37061196497,2022-05-28T09:37:30Z,61,20,14,27,38,68,0.04555808656036447
37046923932,2022-05-27T06:41:00Z,85,19,23,43,67,67,0.028789161727349702
37035256703,2022-05-26T06:59:30Z,83,21,22,40,69,65,0.03872216844143272
37022407157,2022-05-25T06:52:00Z,76,21,23,32,41,67,0.054414784394250515
37011523757,2022-05-24T08:05:30Z,86,21,22,43,84,69,0.06484641638225255
36996873455,2022-05-23T06:46:30Z,64,17,12,35,69,66,0.08850931677018634
36982735486,2022-05-22T06:59:30Z,81,19,26,36,33,68,0.008955223880597015
36965431175,2022-05-21T04:43:30Z,78,17,18,43,51,71,0.11751018033740547
36963882792,2022-05-20T11:09:30Z,68,15,16,37,32,70,0.046176046176046176
36962196505,2022-05-20T03:32:00Z,63,20,13,30,37,70,0.043233082706766915
36944928368,2022-05-19T04:31:00Z,79,19,23,37,82,71,0.0748792270531401
36930297104,2022-05-18T06:08:00Z,87,20,24,43,94,71,0.03650442477876106
36917659386,2022-05-17T06:38:30Z,89,21,22,46,61,69,0.013123359580052493
36904070356,2022-05-16T05:27:30Z,89,22,25,42,105,71,0.031880977683315624
36892822353,2022-05-15T06:58:30Z,91,22,23,46,108,72,0.03637833468067906
36880399786,2022-05-14T05:58:30Z,93,23,23,47,122,71,0.03650190114068441
36867991789,2022-05-13T05:59:30Z,80,21,23,36,55,70,0.044359949302915085
36855953495,2022-05-12T04:52:30Z,80,19,23,38,53,70,0.026172300981461286
36842161497,2022-05-11T03:37:30Z,82,18,24,40,44,72,0.05202312138728324
36837324789,2022-05-10T19:13:30Z,49,19,16,14,13,70,0.17412935323383086
36832049278,2022-05-10T07:02:00Z,85,18,21,46,74,70,0.037063953488372096
36813101380,2022-05-09T05:37:30Z,87,24,21,42,139,72,0.09317269076305221
36810399097,2022-05-08T17:27:30Z,64,13,15,36,15,68,0.029197080291970802
36792618845,2022-05-07T07:14:00Z,82,18,23,41,46,69,0.02821011673151751
36781326701,2022-05-06T07:00:30Z,67,17,14,36,70,67,0.06514285714285714
36769448742,2022-05-05T05:59:00Z,85,20,21,44,156,67,0.032444124008651765
36758972732,2022-05-04T07:59:00Z,87,22,21,44,98,67,0.048060708263069137
36744704922,2022-05-03T05:59:00Z,90,24,23,43,141,69,0.036170212765957444
36731667919,2022-05-02T06:13:00Z,83,17,20,46,109,68,0.05141388174807198
36718501664,2022-05-01T07:00:30Z,77,15,19,43,61,68,0.03884462151394422
36701878328,2022-04-30T05:59:30Z,78,20,16,42,77,67,0.149812734082397
36695098854,2022-04-29T06:33:00Z,83,15,22,46,22,67,0.054817275747508304
